gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.042877662	0.2204554845	0.3376164457	0.2356399617	0.0639684091	0.1969663466	0.0492166014	0.2382323154	0.0695503272	0.0731780787	0.0312439096	0.0470462714	0.161979061	0.1225591496	0.0552609892	0.3306368742	0.0798207022	0.0449264065	0.247623915
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	2.2975790048	1.8106632774	1.5035632885	0.1682101167	0.3273885847	1.5334395753	0.3119881536	1.8251137096	0.6852877377	0.6529947873	0.3839416816	1.4482916927	1.5790072741	1.345131336	0.3549067244	1.4515542867	0.2566987584	0.5598701285	1.9680993644
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0113925981	0.0994507876	0.2104921432	0.2233668363	0.0473212974	0.1284155903	0.0787864917	0.0936528177	0.0858913073	0.1144271418	0.1032042089	0.014611901	0.0766924485	0.1025625632	0.0	0.0485136138	0.0701638574	0.012191803	0.0929195869
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0009835373	0.0067993376	0.0110224569	0.0	0.004630312	0.0047381759	0.0080860837	0.00080998	0.0011721561	0.0	0.0	0.0	0.0	0.0018017658	0.0	0.0	0.0	0.0	0.0003269151
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0164375633	0.0038763065	0.0030105144	0.0149395848	0.0338937662	0.0041059042	0.0616813299	0.0500112859	0.002941042	0.0075087832	0.0	0.0403665189	0.0304477819	0.0416108595	0.0	0.0024836852	0.0175130406	0.0365659163	0.0136329131
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0	0.0	0.0	0.0	0.0007779913	0.0046829317	0.0013179594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0	0.0	0.0	0.0	0.0001014325	0.0	0.0	0.0	0.0	0.0	0.000764464	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.0	0.0036230658	0.0015588884	0.0	0.0	0.0044503241	0.0	0.0023693426	0.0006391197	0.0026599887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063671748
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.042877662	0.2204554845	0.3376164457	0.2356399617	0.0639684091	0.1969663466	0.0492166014	0.2382323154	0.0695503272	0.0731780787	0.0312439096	0.0470462714	0.161979061	0.1225591496	0.0552609892	0.3306368742	0.0798207022	0.0449264065	0.247623915
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	2.2975790048	1.8106632774	1.5035632885	0.1682101167	0.3273885847	1.5334395753	0.3119881536	1.8251137096	0.6852877377	0.6529947873	0.3839416816	1.4482916927	1.5790072741	1.345131336	0.3549067244	1.4515542867	0.2566987584	0.5598701285	1.9680993644
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0007377932	0.0013477425	0.0	0.0	0.0009132177	0.0	0.0092551906	0.0015978195	0.0024236656	0.0	0.0043303053	0.0	0.0	0.0	0.0018144598	0.0547041333	0.0	0.0002871023
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.042877662	0.2204554845	0.3376164457	0.2356399617	0.0639684091	0.1969663466	0.0492166014	0.2382323154	0.0695503272	0.0731780787	0.0312439096	0.0470462714	0.161979061	0.1225591496	0.0552609892	0.3306368742	0.0798207022	0.0449264065	0.247623915
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.042877662	0.2204554845	0.3376164457	0.2356399617	0.0639684091	0.1969663466	0.0492166014	0.2382323154	0.0695503272	0.0731780787	0.0312439096	0.0470462714	0.161979061	0.1225591496	0.0552609892	0.3306368742	0.0798207022	0.0449264065	0.247623915
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.0113925981	0.0994507876	0.2104921432	0.2233668363	0.0473212974	0.1284155903	0.0787864917	0.0936528177	0.0858913073	0.1144271418	0.1032042089	0.014611901	0.0766924485	0.1025625632	0.0	0.0485136138	0.0701638574	0.012191803	0.0929195869
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0113925981	0.0994507876	0.2104921432	0.2233668363	0.0473212974	0.1284155903	0.0787864917	0.0936528177	0.0858913073	0.1144271418	0.1032042089	0.014611901	0.0766924485	0.1025625632	0.0	0.0485136138	0.0701638574	0.012191803	0.0929195869
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0009835373	0.0067993376	0.0110224569	0.0	0.004630312	0.0047381759	0.0080860837	0.00080998	0.0011721561	0.0	0.0	0.0	0.0	0.0018017658	0.0	0.0	0.0	0.0	0.0003269151
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0036389229	0.0685062702	0.0750168163	0.0	0.0	0.0525998855	0.0055130701	0.0181352432	0.0006675987	0.0	0.0	0.0071083458	0.0	0.0230709624	0.0	0.0121280478	0.0201281393	0.0	0.0321261946
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0020785872	0.0008986627	0.0011799473	0.0	0.0078373895	0.0005790392	0.0479961332	0.0	0.0007595618	0.0029990953	0.0	0.0021466092	0.0	0.0	0.0	0.0	0.5825555695	0.0	0.0003233368
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0088941832	0.0062329986	0.0035042244	0.0146235249	0.0138573553	0.0087858724	0.1832384169	0.0096823093	0.0090985024	0.0049400728	0.0	0.0173195115	0.0	0.0156063989	0.2112757432	0.0202297773	0.3073505709	0.0268024091	0.005059487
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0765548962	0.008308517	0.1026527265	0.0	0.0	0.0012027932	0.0275651061	0.0023442799	0.0037115233	0.0	0.0275805105	0.0140180111	0.0130571462	0.0052626405	0.0	0.0892025041	0.0672645583	0.0	0.022913978
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.4187109254	0.1114904785	0.1662620367	0.0387810454	0.0784109947	0.0061566943	0.2365892763	0.6588716393	0.1431553458	0.2855831901	0.0	0.088201933	0.081510876	0.2080934487	0.0502915091	0.1656773595	0.0658607038	0.0313027933	0.2158382028
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0011551207	0.0003972068	0.0011654	0.0	0.0053980041	0.0002790636	0.0	0.0014313975	0.0	0.0	0.0	0.0006203888	0.0	0.0009705877	0.0	0.0	0.0	0.0	0.0009600575
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0026934	0.0011219073	0.0106708765	0.0	0.0538374936	0.0036807032	0.0102953304	0.0196122406	0.0	0.0	0.0	0.0	0.0	0.001763327	0.0	0.0	0.0	0.0059782594	0.0054314467
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0002525232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028620791	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0056365387	0.0005547286	0.0	0.0	0.0	0.0010220124	0.0	0.0010864229	0.0006560924	0.0	0.0	0.0	0.0	0.0023446897	0.0	0.0	0.0	0.0	0.0023947765
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000758735
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.003965878	0.0142544507	0.1275155407	0.0141630039	0.0064588437	0.0869713487	0.0067146287	0.0121787591	0.0005103096	0.0035204803	0.0	0.0020745655	0.0252597051	0.0054122754	0.0	0.0192543689	0.0	0.0	0.0431952564
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0113540634	0.0061427264	0.0	0.0233304759	0.0025421598	0.0107018391	0.0077382996	0.0044262878	0.0	0.0	0.0014160199	0.0154205383	0.0049369327	0.0	0.0	0.0497266717	0.0	0.0037891956
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.4187109254	0.1114904785	0.1662620367	0.0387810454	0.0784109947	0.0061566943	0.2365892763	0.6588716393	0.1431553458	0.2855831901	0.0	0.088201933	0.081510876	0.2080934487	0.0502915091	0.1656773595	0.0658607038	0.0313027933	0.2158382028
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0011551207	0.0003972068	0.0011654	0.0	0.0053980041	0.0002790636	0.0	0.0014313975	0.0	0.0	0.0	0.0006203888	0.0	0.0009705877	0.0	0.0	0.0	0.0	0.0009600575
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0026934	0.0011219073	0.0106708765	0.0	0.0538374936	0.0036807032	0.0102953304	0.0196122406	0.0	0.0	0.0	0.0	0.0	0.001763327	0.0	0.0	0.0	0.0059782594	0.0054314467
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0002525232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028620791	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0056365387	0.0005547286	0.0	0.0	0.0	0.0010220124	0.0	0.0010864229	0.0006560924	0.0	0.0	0.0	0.0	0.0023446897	0.0	0.0	0.0	0.0	0.0023947765
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.011835184	0.1875468748	0.2723021811	0.0109470249	0.0104640733	0.0666235954	0.0140986895	0.1580716147	0.0053744733	0.0115262889	0.0	0.0043708003	0.0	0.0162140067	0.0455612811	0.0398515484	0.0486872438	0.0533921495	0.0827652999
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.4187109254	0.1114904785	0.1662620367	0.0387810454	0.0784109947	0.0061566943	0.2365892763	0.6588716393	0.1431553458	0.2855831901	0.0	0.088201933	0.081510876	0.2080934487	0.0502915091	0.1656773595	0.0658607038	0.0313027933	0.2158382028
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.0239886555	0.0021606771	0.0208780527	0.0	0.0058162712	0.0029399112	0.0323462259	0.0060148646	0.0043162591	0.0030390893	0.0355844927	0.0172239592	0.0	0.0061744888	0.0	0.222184027	0.0660786514	0.0	0.0142748051
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0011551207	0.0003972068	0.0011654	0.0	0.0053980041	0.0002790636	0.0	0.0014313975	0.0	0.0	0.0	0.0006203888	0.0	0.0009705877	0.0	0.0	0.0	0.0	0.0009600575
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0026934	0.0011219073	0.0106708765	0.0	0.0538374936	0.0036807032	0.0102953304	0.0196122406	0.0	0.0	0.0	0.0	0.0	0.001763327	0.0	0.0	0.0	0.0059782594	0.0054314467
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0056365387	0.0005547286	0.0	0.0	0.0	0.0010220124	0.0	0.0010864229	0.0006560924	0.0	0.0	0.0	0.0	0.0023446897	0.0	0.0	0.0	0.0	0.0023947765
FGF3	P11487	False	FGF3_HUMAN		CPI-SS06D341996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000758735
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.003965878	0.0142544507	0.1275155407	0.0141630039	0.0064588437	0.0869713487	0.0067146287	0.0121787591	0.0005103096	0.0035204803	0.0	0.0020745655	0.0252597051	0.0054122754	0.0	0.0192543689	0.0	0.0	0.0431952564
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0113540634	0.0061427264	0.0	0.0233304759	0.0025421598	0.0107018391	0.0077382996	0.0044262878	0.0	0.0	0.0014160199	0.0154205383	0.0049369327	0.0	0.0	0.0497266717	0.0	0.0037891956
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.011835184	0.1875468748	0.2723021811	0.0109470249	0.0104640733	0.0666235954	0.0140986895	0.1580716147	0.0053744733	0.0115262889	0.0	0.0043708003	0.0	0.0162140067	0.0455612811	0.0398515484	0.0486872438	0.0533921495	0.0827652999
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.0	0.0100508278	0.0065647355	0.0	0.0	0.0056362461	0.0	0.0038836382	0.0015423124	0.0026333831	0.0	0.001035345	0.0	0.0009705877	0.0	0.0143233976	0.0653636937	0.0	0.0057472753
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0107318603	0.0213289718	0.0268006988	0.0	0.0144341383	0.0074078164	0.0	0.0159760122	0.002747514	0.0	0.0654976891	0.0040414058	0.0	0.0066070867	0.0	0.0068765449	0.0	0.0	0.0069071432
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.7524548567	0.3135938764	0.516618623	0.0148497973	0.5982348891	0.0901904266	0.6871110022	0.0843140239	0.0211427908	0.0254311815	0.1611430754	0.0255125934	0.0520249962	0.1732018108	0.1571215874	0.2153355963	0.7901412177	0.0724560372	0.1358035937
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.4187109254	0.1114904785	0.1662620367	0.0387810454	0.0784109947	0.0061566943	0.2365892763	0.6588716393	0.1431553458	0.2855831901	0.0	0.088201933	0.081510876	0.2080934487	0.0502915091	0.1656773595	0.0658607038	0.0313027933	0.2158382028
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0011551207	0.0003972068	0.0011654	0.0	0.0053980041	0.0002790636	0.0	0.0014313975	0.0	0.0	0.0	0.0006203888	0.0	0.0009705877	0.0	0.0	0.0	0.0	0.0009600575
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0026934	0.0011219073	0.0106708765	0.0	0.0538374936	0.0036807032	0.0102953304	0.0196122406	0.0	0.0	0.0	0.0	0.0	0.001763327	0.0	0.0	0.0	0.0059782594	0.0054314467
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.0056365387	0.0005547286	0.0	0.0	0.0	0.0010220124	0.0	0.0010864229	0.0006560924	0.0	0.0	0.0	0.0	0.0023446897	0.0	0.0	0.0	0.0	0.0023947765
FGF3	P11487	False	FGF3_HUMAN		CPI-SS0C2A73A10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000758735
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.003965878	0.0142544507	0.1275155407	0.0141630039	0.0064588437	0.0869713487	0.0067146287	0.0121787591	0.0005103096	0.0035204803	0.0	0.0020745655	0.0252597051	0.0054122754	0.0	0.0192543689	0.0	0.0	0.0431952564
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.0113540634	0.0061427264	0.0	0.0233304759	0.0025421598	0.0107018391	0.0077382996	0.0044262878	0.0	0.0	0.0014160199	0.0154205383	0.0049369327	0.0	0.0	0.0497266717	0.0	0.0037891956
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	2.3211372626	1.582811677	1.7885158278	1.280162105	2.1360232754	1.447427517	1.657637556	1.7297541603	2.4142456376	2.1959619398	0.7491653878	0.9340925813	2.1358872643	1.2357387009	0.7580567614	1.0380553491	1.3639577842	0.7055671641	1.5028939643
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0040524899	0.0013236108	0.003637802	0.0	0.0051837375	0.0015080918	0.0401043165	0.0014553847	0.0022017149	0.0046303398	0.0282106655	0.0071619875	0.0139958603	0.0049535442	0.0	0.0	0.0	0.0	0.0004685796
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0088941832	0.0062329986	0.0035042244	0.0146235249	0.0138573553	0.0087858724	0.1832384169	0.0096823093	0.0090985024	0.0049400728	0.0	0.0173195115	0.0	0.0156063989	0.2112757432	0.0202297773	0.3073505709	0.0268024091	0.005059487
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.4187109254	0.1114904785	0.1662620367	0.0387810454	0.0784109947	0.0061566943	0.2365892763	0.6588716393	0.1431553458	0.2855831901	0.0	0.088201933	0.081510876	0.2080934487	0.0502915091	0.1656773595	0.0658607038	0.0313027933	0.2158382028
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.0105497714	0.0024364337	0.0034324386	0.0	0.0	0.0015959539	0.0077642848	0.003863893	0.0035816907	0.0021602524	0.1697286269	0.2866458846	0.0	0.0	0.0633494811	0.016157323	0.0742895832	0.1581726187	0.0040312267
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0119483178	0.0899284287	0.0840421205	0.0524163738	0.0632396789	0.0710673275	0.0346142057	0.1352454259	0.0067073815	0.0027706857	0.0228677088	0.0076932789	0.028764303	0.0145402006	0.0	0.0988445118	0.1177861686	0.0	0.1195176497
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0191824404	0.02471314	0.0347888633	0.0453297339	0.0704945146	0.0157256137	0.0128874053	0.0656208996	0.0372431966	0.0446348146	0.0	0.006495994	0.0	0.0295185858	0.0154110013	0.0163377865	0.0758200526	0.0	0.0242269746
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.1688117422	0.1192949994	0.354867048	0.0	0.6318909242	0.2335353954	0.062266723	0.0461634414	0.0240187268	0.0291074245	0.056979288	0.0288052847	0.0329013484	0.1162591197	0.0384690804	0.0771970682	0.0553392486	0.2517588384	0.0461939252
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0082311766	0.0218769714	0.0136137852	0.0	0.0050851001	0.0129919468	0.0	0.0154745562	0.0031371579	0.0096368764	0.0	0.0010019627	0.0413846316	0.0073651444	0.0298374704	0.0069321587	0.0	0.0	0.014554122
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0173362622	0.1857020376	0.1698474171	0.1068540081	0.0288382517	0.0454731652	0.0080023076	0.1613260404	0.0162440882	0.0071347105	0.0	0.018224151	0.0256335728	0.0666804853	0.0298374704	0.1483907746	0.0230099946	0.0240878695	0.1776082582
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.2404445539	0.0133005057	0.0107332244	0.0	0.0450701718	0.0110882363	0.1456266282	0.0374929217	0.0116110937	0.0259568465	0.0	0.1730127984	0.2966692591	0.342036639	0.0	0.0211737929	0.1276148775	0.5248734164	0.0268389182
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.117448754	0.4558260199	0.2444221029	0.2537099312	0.131436535	0.1786950513	0.1409466081	0.1943267366	0.6590476026	0.8248598642	0.0476302871	0.0745966651	1.2385990703	0.4928755331	0.3148998666	0.3575588144	0.1520766364	0.0668883882	0.4012797411
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.3828463646	0.2353681421	0.2241600084	0.2152317674	0.3043254984	0.2165101589	0.3032472566	0.2768827391	0.3751920115	0.3709187443	0.4848541362	0.3529291723	0.4495773071	0.286544928	0.3730423559	0.327856992	0.4632454598	0.528353695	0.2240955473
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0028676701	0.028747622	0.0114631012	0.0177230243	0.0039555314	0.0603326843	0.0032951947	0.2440603814	0.0094051218	0.0	0.0	0.0037245252	0.0129736086	0.0048235638	0.0	0.0419787955	0.0	0.0094616726	0.1304064433
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0117429028	0.1522082131	0.2347035864	0.2497297666	0.3494487771	0.0859179134	0.28649042	0.1821741298	0.0112974351	0.0083320154	0.0	0.0138922062	0.0216805478	0.0943078553	0.0557881981	0.1630099817	0.5306587238	0.0237173982	0.200748861
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0	0.0008942251	0.0	0.0	0.0	0.0007755594	0.0	0.0002748396	0.0	0.0	0.0	0.0317260288	0.0	0.0	0.0	0.0	0.0	0.0	0.000906962
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.0001999075	0.0	0.0	0.0025828412	0.0	0.0	0.0007302747	0.0	0.0	0.0	0.0011252779	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.0	0.0001951437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0236349468	0.002961829	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	0.0011632136	0.0016890542	0.0012291623	0.0092268238	0.0	0.0009230358	0.0	0.0011465288	0.0006706715	0.0058952245	0.0443793466	0.0865837921	0.0	0.0	0.019713648	0.0015361477	0.0	0.0	0.0016565298
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0	0.0008942251	0.0	0.0	0.0	0.0007755594	0.0	0.0002748396	0.0	0.0	0.0	0.0317260288	0.0	0.0	0.0	0.0	0.0	0.0	0.000906962
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0014979492	0.0107586305	0.0075272935	0.0	0.0058722207	0.0039616728	0.0112252023	0.0166136572	0.0026474356	0.0027593859	0.070472424	0.0733951443	0.015014549	0.0	0.1301590426	0.0115745596	0.0881674058	0.0	0.0078944536
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.0	0.0008942251	0.0	0.0	0.0	0.0007755594	0.0	0.0002748396	0.0	0.0	0.0	0.0317260288	0.0	0.0	0.0	0.0	0.0	0.0	0.000906962
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.8017813763	0.0082065543	0.0142830591	0.0098028543	0.2790487797	0.0227162232	0.6605894996	0.3282922113	0.0073398197	0.0119520461	0.2944087507	0.0040204758	0.0073519568	0.0077525074	0.183203069	0.0242308859	1.5724934491	0.0	0.0117179774
