"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"37","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.03,37,1,1,0,""
"38","MF","GO:0000993","RNA polymerase II complex binding",37,0,0,38,1,1,0,""
"39","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.04,39,1,1,0,""
"40","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0,40,1,1,0,""
"41","MF","GO:0001047","core promoter binding",60,0,0,41,1,1,0,""
"42","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.05,42,1,1,0,""
"43","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.01,43,1,1,0,""
"44","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,44,1,1,0,""
"45","MF","GO:0001098","basal transcription machinery binding",57,0,0,45,1,1,0,""
"46","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0,46,1,1,0,""
"47","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0,47,1,1,0,""
"48","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0,48,1,1,0,""
"49","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.01,49,1,1,0,""
"50","MF","GO:0001221","transcription cofactor binding",49,0,0,50,1,1,0,""
"51","MF","GO:0001223","transcription coactivator binding",22,0,0,51,1,1,0,""
"52","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.01,52,1,1,0,""
"53","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.02,53,1,1,0,""
"54","MF","GO:0001530","lipopolysaccharide binding",24,0,0,54,1,1,0,""
"55","MF","GO:0001540","amyloid-beta binding",57,0,0,55,1,1,0,""
"56","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,56,1,1,0,""
"57","MF","GO:0001653","peptide receptor activity",133,0,0.01,57,1,1,0,""
"58","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.01,58,1,1,0,""
"59","MF","GO:0001671","ATPase activator activity",24,0,0,59,1,1,0,""
"60","MF","GO:0001784","phosphotyrosine residue binding",43,0,0,60,1,1,0,""
"61","MF","GO:0001786","phosphatidylserine binding",61,0,0,61,1,1,0,""
"62","MF","GO:0001848","complement binding",21,0,0,62,1,1,0,""
"63","MF","GO:0001871","pattern binding",21,0,0,63,1,1,0,""
"64","MF","GO:0001882","nucleoside binding",360,0,0.02,64,1,1,0,""
"65","MF","GO:0001883","purine nucleoside binding",350,0,0.02,65,1,1,0,""
"66","MF","GO:0001965","G-protein alpha-subunit binding",35,0,0,66,1,1,0,""
"67","MF","GO:0001968","fibronectin binding",30,0,0,67,1,1,0,""
"68","MF","GO:0002020","protease binding",135,0,0.01,68,1,1,0,""
"69","MF","GO:0002039","p53 binding",68,0,0,69,1,1,0,""
"70","MF","GO:0003676","nucleic acid binding",2829,0,0.15,70,1,1,0,""
"71","MF","GO:0003677","DNA binding",1834,0,0.1,71,1,1,0,""
"72","MF","GO:0003678","DNA helicase activity",61,0,0,72,1,1,0,""
"73","MF","GO:0003682","chromatin binding",536,0,0.03,73,1,1,0,""
"74","MF","GO:0003684","damaged DNA binding",55,0,0,74,1,1,0,""
"75","MF","GO:0003688","DNA replication origin binding",23,0,0,75,1,1,0,""
"76","MF","GO:0003690","double-stranded DNA binding",903,0,0.05,76,1,1,0,""
"77","MF","GO:0003697","single-stranded DNA binding",109,0,0.01,77,1,1,0,""
"78","MF","GO:0003700","DNA-binding transcription factor activit...",882,0,0.05,78,1,1,0,""
"79","MF","GO:0003707","steroid hormone receptor activity",55,0,0,79,1,1,0,""
"80","MF","GO:0003712","transcription coregulator activity",442,0,0.02,80,1,1,0,""
"81","MF","GO:0003713","transcription coactivator activity",252,0,0.01,81,1,1,0,""
"82","MF","GO:0003714","transcription corepressor activity",180,0,0.01,82,1,1,0,""
"83","MF","GO:0003723","RNA binding",1018,0,0.06,83,1,1,0,""
"84","MF","GO:0003724","RNA helicase activity",63,0,0,84,1,1,0,""
"85","MF","GO:0003725","double-stranded RNA binding",82,0,0,85,1,1,0,""
"86","MF","GO:0003727","single-stranded RNA binding",91,0,0,86,1,1,0,""
"87","MF","GO:0003729","mRNA binding",251,0,0.01,87,1,1,0,""
"88","MF","GO:0003730","mRNA 3'-UTR binding",83,0,0,88,1,1,0,""
"89","MF","GO:0003735","structural constituent of ribosome",171,0,0.01,89,1,1,0,""
"90","MF","GO:0003743","translation initiation factor activity",46,0,0,90,1,1,0,""
"91","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",36,0,0,91,1,1,0,""
"92","MF","GO:0003774","motor activity",129,0,0.01,92,1,1,0,""
"93","MF","GO:0003777","microtubule motor activity",80,0,0,93,1,1,0,""
"94","MF","GO:0003779","actin binding",416,0,0.02,94,1,1,0,""
"95","MF","GO:0003785","actin monomer binding",25,0,0,95,1,1,0,""
"96","MF","GO:0003823","antigen binding",51,0,0,96,1,1,0,""
"97","MF","GO:0003824","catalytic activity",5396,0,0.29,97,1,1,0,""
"98","MF","GO:0003887","DNA-directed DNA polymerase activity",26,0,0,98,1,1,0,""
"99","MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activi...",37,0,0,99,1,1,0,""
"100","MF","GO:0003924","GTPase activity",275,0,0.01,100,1,1,0,""
"101","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",22,1,0,1,0.0012,0.0012,0.0454545454545455,"Thy1"
"102","BP","GO:0002693","positive regulation of cellular extravas...",22,1,0,2,0.0012,0.0012,0.0454545454545455,"Thy1"
"103","BP","GO:0034114","regulation of heterotypic cell-cell adhe...",23,1,0,3,0.0013,0.0013,0.0434782608695652,"Thy1"
"104","BP","GO:0050858","negative regulation of antigen receptor-...",25,1,0,4,0.0014,0.0014,0.04,"Thy1"
"105","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0,5,0.0014,0.0014,0.04,"Thy1"
"106","BP","GO:0061099","negative regulation of protein tyrosine ...",27,1,0,6,0.0015,0.0015,0.037037037037037,"Thy1"
"107","BP","GO:0070570","regulation of neuron projection regenera...",37,1,0,10,0.002,0.002,0.027027027027027,"Thy1"
"108","BP","GO:0042462","eye photoreceptor cell development",37,1,0,11,0.002,0.002,0.027027027027027,"Thy1"
"109","BP","GO:0050856","regulation of T cell receptor signaling ...",39,1,0,12,0.0021,0.0021,0.0256410256410256,"Thy1"
"110","BP","GO:0051281","positive regulation of release of seques...",40,1,0,13,0.0022,0.0022,0.025,"Thy1"
"111","BP","GO:0043113","receptor clustering",66,1,0,28,0.0036,0.0036,0.0151515151515152,"Thy1"
"112","BP","GO:0050771","negative regulation of axonogenesis",67,1,0,29,0.0036,0.0036,0.0149253731343284,"Thy1"
"113","BP","GO:0007229","integrin-mediated signaling pathway",87,1,0,39,0.0047,0.0047,0.0114942528735632,"Thy1"
"114","BP","GO:0050870","positive regulation of T cell activation",177,1,0.01,64,0.0096,0.0096,0.00564971751412429,"Thy1"
"115","BP","GO:0043547","positive regulation of GTPase activity",210,1,0.01,77,0.0114,0.0114,0.00476190476190476,"Thy1"
"116","BP","GO:0046777","protein autophosphorylation",236,1,0.01,80,0.0128,0.0128,0.00423728813559322,"Thy1"
"117","BP","GO:0030336","negative regulation of cell migration",257,1,0.01,86,0.014,0.014,0.00389105058365759,"Thy1"
"118","BP","GO:2000146","negative regulation of cell motility",269,1,0.01,88,0.0146,0.0146,0.00371747211895911,"Thy1"
"119","BP","GO:0043087","regulation of GTPase activity",288,1,0.02,93,0.0157,0.0157,0.00347222222222222,"Thy1"
"120","BP","GO:0051271","negative regulation of cellular componen...",304,1,0.02,97,0.0165,0.0165,0.00328947368421053,"Thy1"
"121","BP","GO:0040013","negative regulation of locomotion",320,1,0.02,107,0.0174,0.0174,0.003125,"Thy1"
"122","BP","GO:0071900","regulation of protein serine/threonine k...",416,1,0.02,125,0.0226,0.0226,0.00240384615384615,"Thy1"
"123","BP","GO:0051345","positive regulation of hydrolase activit...",490,1,0.03,138,0.0267,0.0267,0.00204081632653061,"Thy1"
"124","BP","GO:0001525","angiogenesis",491,1,0.03,139,0.0267,0.0267,0.00203665987780041,"Thy1"
"125","BP","GO:0048514","blood vessel morphogenesis",591,1,0.03,157,0.0322,0.0322,0.00169204737732657,"Thy1"
"126","BP","GO:0001568","blood vessel development",682,1,0.04,174,0.0371,0.0371,0.00146627565982405,"Thy1"
"127","BP","GO:0001944","vasculature development",713,1,0.04,180,0.0388,0.0388,0.00140252454417952,"Thy1"
"128","BP","GO:0072358","cardiovascular system development",726,1,0.04,183,0.0395,0.0395,0.00137741046831956,"Thy1"
"129","BP","GO:0035239","tube morphogenesis",863,1,0.05,197,0.047,0.047,0.00115874855156431,"Thy1"
"130","BP","GO:0051336","regulation of hydrolase activity",923,1,0.05,203,0.0502,0.0502,0.00108342361863489,"Thy1"
"131","BP","GO:0043085","positive regulation of catalytic activit...",1018,1,0.06,212,0.0554,0.0554,0.000982318271119843,"Thy1"
"132","BP","GO:0035295","tube development",1047,1,0.06,217,0.057,0.057,0.000955109837631328,"Thy1"
"133","BP","GO:0072359","circulatory system development",1078,1,0.06,222,0.0587,0.0587,0.000927643784786642,"Thy1"
"134","BP","GO:0048646","anatomical structure formation involved ...",1091,1,0.06,223,0.0594,0.0594,0.000916590284142988,"Thy1"
"135","BP","GO:0007010","cytoskeleton organization",1260,1,0.07,235,0.0686,0.0686,0.000793650793650794,"Thy1"
"136","BP","GO:0044093","positive regulation of molecular functio...",1381,1,0.08,241,0.0752,0.0752,0.000724112961622013,"Thy1"
"137","BP","GO:0007267","cell-cell signaling",1393,1,0.08,242,0.0758,0.0758,0.000717875089734386,"Thy1"
"138","BP","GO:0006996","organelle organization",3380,1,0.18,300,0.1839,0.1839,0.00029585798816568,"Thy1"
"139","BP","GO:0042110","T cell activation",444,1,0.02,128,1,0.0242,0.00225225225225225,"Thy1"
"140","BP","GO:0051716","cellular response to stimulus",6163,1,0.34,330,1,0.3354,0.000162258640272595,"Thy1"
"141","BP","GO:0051279","regulation of release of sequestered cal...",75,1,0,31,1,0.0041,0.0133333333333333,"Thy1"
"142","BP","GO:0060341","regulation of cellular localization",933,1,0.05,204,1,0.0508,0.00107181136120043,"Thy1"
"143","BP","GO:0009887","animal organ morphogenesis",989,1,0.05,210,1,0.0538,0.00101112234580384,"Thy1"
"144","BP","GO:0006810","transport",4098,1,0.22,306,1,0.223,0.000244021473889702,"Thy1"
"145","BP","GO:0006811","ion transport",1514,1,0.08,248,1,0.0824,0.000660501981505945,"Thy1"
"146","BP","GO:0006812","cation transport",1068,1,0.06,221,1,0.0581,0.000936329588014981,"Thy1"
"147","BP","GO:0097553","calcium ion transmembrane import into cy...",132,1,0.01,52,1,0.0072,0.00757575757575758,"Thy1"
"148","BP","GO:0001754","eye photoreceptor cell differentiation",51,1,0,15,1,0.0028,0.0196078431372549,"Thy1"
"149","BP","GO:0043269","regulation of ion transport",716,1,0.04,181,1,0.039,0.00139664804469274,"Thy1"
"150","BP","GO:1901890","positive regulation of cell junction ass...",33,1,0,9,1,0.0018,0.0303030303030303,"Thy1"
"151","BP","GO:0006816","calcium ion transport",413,1,0.02,124,1,0.0225,0.00242130750605327,"Thy1"
"152","BP","GO:0055080","cation homeostasis",695,1,0.04,176,1,0.0378,0.00143884892086331,"Thy1"
"153","BP","GO:0055082","cellular chemical homeostasis",761,1,0.04,188,1,0.0414,0.00131406044678055,"Thy1"
"154","BP","GO:0043549","regulation of kinase activity",709,1,0.04,178,1,0.0386,0.00141043723554302,"Thy1"
"155","BP","GO:0050896","response to stimulus",7518,1,0.41,333,1,0.4091,0.000133014099494546,"Thy1"
"156","BP","GO:0055085","transmembrane transport",1233,1,0.07,232,1,0.0671,0.0008110300081103,"Thy1"
"157","BP","GO:0072511","divalent inorganic cation transport",464,1,0.03,132,1,0.0253,0.0021551724137931,"Thy1"
"158","BP","GO:0031400","negative regulation of protein modificat...",550,1,0.03,151,1,0.0299,0.00181818181818182,"Thy1"
"159","BP","GO:0033036","macromolecule localization",2820,1,0.15,291,1,0.1535,0.000354609929078014,"Thy1"
"160","BP","GO:0010771","negative regulation of cell morphogenesi...",98,1,0.01,40,1,0.0053,0.0102040816326531,"Thy1"
"161","BP","GO:0030154","cell differentiation",3766,1,0.2,304,1,0.205,0.000265533722782793,"Thy1"
"162","BP","GO:0030001","metal ion transport",822,1,0.04,193,1,0.0447,0.00121654501216545,"Thy1"
"163","BP","GO:0030155","regulation of cell adhesion",663,1,0.04,169,1,0.0361,0.00150829562594268,"Thy1"
"164","BP","GO:0010810","regulation of cell-substrate adhesion",208,1,0.01,75,1,0.0113,0.00480769230769231,"Thy1"
"165","BP","GO:0051171","regulation of nitrogen compound metaboli...",4714,1,0.26,311,1,0.2565,0.000212134068731438,"Thy1"
"166","BP","GO:0010811","positive regulation of cell-substrate ad...",125,1,0.01,49,1,0.0068,0.008,"Thy1"
"167","BP","GO:0051172","negative regulation of nitrogen compound...",2111,1,0.11,271,1,0.1149,0.000473709142586452,"Thy1"
"168","BP","GO:0030003","cellular cation homeostasis",608,1,0.03,160,1,0.0331,0.00164473684210526,"Thy1"
"169","BP","GO:0051174","regulation of phosphorus metabolic proce...",1598,1,0.09,253,1,0.087,0.000625782227784731,"Thy1"
"170","BP","GO:0046649","lymphocyte activation",640,1,0.03,164,1,0.0348,0.0015625,"Thy1"
"171","BP","GO:0051960","regulation of nervous system development",1027,1,0.06,213,1,0.0559,0.000973709834469328,"Thy1"
"172","BP","GO:0045123","cellular extravasation",60,1,0,26,1,0.0033,0.0166666666666667,"Thy1"
"173","BP","GO:0051961","negative regulation of nervous system de...",347,1,0.02,112,1,0.0189,0.00288184438040346,"Thy1"
"174","BP","GO:0032989","cellular component morphogenesis",1163,1,0.06,226,1,0.0633,0.000859845227858985,"Thy1"
"175","BP","GO:0044085","cellular component biogenesis",2902,1,0.16,292,1,0.1579,0.000344589937973811,"Thy1"
"176","BP","GO:0007409","axonogenesis",446,1,0.02,129,1,0.0243,0.00224215246636771,"Thy1"
"177","BP","GO:0051179","localization",5557,1,0.3,325,1,0.3024,0.000179953212164837,"Thy1"
"178","BP","GO:0048468","cell development",2234,1,0.12,274,1,0.1216,0.00044762757385855,"Thy1"
"179","BP","GO:0034330","cell junction organization",251,1,0.01,83,1,0.0137,0.00398406374501992,"Thy1"
"180","BP","GO:0044087","regulation of cellular component biogene...",921,1,0.05,202,1,0.0501,0.001085776330076,"Thy1"
"181","BP","GO:1901564","organonitrogen compound metabolic proces...",5671,1,0.31,328,1,0.3086,0.000176335743255158,"Thy1"
"182","BP","GO:0055074","calcium ion homeostasis",467,1,0.03,133,1,0.0254,0.00214132762312634,"Thy1"
"183","BP","GO:0034332","adherens junction organization",125,1,0.01,50,1,0.0068,0.008,"Thy1"
"184","BP","GO:0044089","positive regulation of cellular componen...",518,1,0.03,142,1,0.0282,0.00193050193050193,"Thy1"
"185","BP","GO:0034333","adherens junction assembly",85,1,0,37,1,0.0046,0.0117647058823529,"Thy1"
"186","BP","GO:0051480","regulation of cytosolic calcium ion conc...",354,1,0.02,114,1,0.0193,0.00282485875706215,"Thy1"
"187","BP","GO:0030182","neuron differentiation",1415,1,0.08,243,1,0.077,0.000706713780918728,"Thy1"
"188","BP","GO:0010721","negative regulation of cell development",372,1,0.02,117,1,0.0202,0.00268817204301075,"Thy1"
"189","BP","GO:0060401","cytosolic calcium ion transport",166,1,0.01,61,1,0.009,0.00602409638554217,"Thy1"
"190","BP","GO:0060402","calcium ion transport into cytosol",153,1,0.01,56,1,0.0083,0.0065359477124183,"Thy1"
"191","BP","GO:0001775","cell activation",879,1,0.05,198,1,0.0478,0.00113765642775882,"Thy1"
"192","BP","GO:1904062","regulation of cation transmembrane trans...",342,1,0.02,111,1,0.0186,0.00292397660818713,"Thy1"
"193","BP","GO:0002682","regulation of immune system process",1224,1,0.07,231,1,0.0666,0.000816993464052288,"Thy1"
"194","BP","GO:0031589","cell-substrate adhesion",330,1,0.02,109,1,0.018,0.00303030303030303,"Thy1"
"195","BP","GO:0002683","negative regulation of immune system pro...",443,1,0.02,127,1,0.0241,0.00225733634311512,"Thy1"
"196","BP","GO:0050790","regulation of catalytic activity",1726,1,0.09,261,1,0.0939,0.000579374275782155,"Thy1"
"197","BP","GO:1904064","positive regulation of cation transmembr...",160,1,0.01,59,1,0.0087,0.00625,"Thy1"
"198","BP","GO:0002684","positive regulation of immune system pro...",859,1,0.05,195,1,0.0467,0.00116414435389988,"Thy1"
"199","BP","GO:0002685","regulation of leukocyte migration",190,1,0.01,67,1,0.0103,0.00526315789473684,"Thy1"
"200","BP","GO:0070588","calcium ion transmembrane transport",274,1,0.01,91,1,0.0149,0.00364963503649635,"Thy1"
"201","CC","GO:0030673","axolemma",21,1,0,1,0.0011,0.0011,0.0476190476190476,"Thy1"
"202","CC","GO:0031233","intrinsic component of external side of ...",22,1,0,2,0.0012,0.0012,0.0454545454545455,"Thy1"
"203","CC","GO:0032809","neuronal cell body membrane",35,1,0,3,0.0019,0.0019,0.0285714285714286,"Thy1"
"204","CC","GO:0032590","dendrite membrane",45,1,0,5,0.0024,0.0024,0.0222222222222222,"Thy1"
"205","CC","GO:0046658","anchored component of plasma membrane",66,1,0,6,0.0035,0.0035,0.0151515151515152,"Thy1"
"206","CC","GO:0030426","growth cone",197,1,0.01,11,0.0105,0.0105,0.0050761421319797,"Thy1"
"207","CC","GO:0030427","site of polarized growth",201,1,0.01,12,0.0107,0.0107,0.00497512437810945,"Thy1"
"208","CC","GO:0043209","myelin sheath",210,1,0.01,13,0.0112,0.0112,0.00476190476190476,"Thy1"
"209","CC","GO:0016324","apical plasma membrane",301,1,0.02,15,0.0161,0.0161,0.00332225913621262,"Thy1"
"210","CC","GO:0045121","membrane raft",359,1,0.02,16,0.0192,0.0192,0.00278551532033426,"Thy1"
"211","CC","GO:0098857","membrane microdomain",360,1,0.02,17,0.0192,0.0192,0.00277777777777778,"Thy1"
"212","CC","GO:0150034","distal axon",361,1,0.02,18,0.0193,0.0193,0.00277008310249307,"Thy1"
"213","CC","GO:0098589","membrane region",371,1,0.02,19,0.0198,0.0198,0.00269541778975741,"Thy1"
"214","CC","GO:0045177","apical part of cell",397,1,0.02,22,0.0212,0.0212,0.00251889168765743,"Thy1"
"215","CC","GO:0098805","whole membrane",1068,1,0.06,32,0.057,0.057,0.000936329588014981,"Thy1"
"216","CC","GO:0005783","endoplasmic reticulum",1617,1,0.09,38,0.0863,0.0863,0.000618429189857761,"Thy1"
"217","CC","GO:0005829","cytosol",3131,1,0.17,43,0.1671,0.1671,0.000319386777387416,"Thy1"
"218","CC","GO:0012505","endomembrane system",3594,1,0.19,44,0.1918,0.1918,0.000278241513633834,"Thy1"
"219","CC","GO:0044444","cytoplasmic part",7918,1,0.42,50,0.4226,0.4226,0.000126294518817883,"Thy1"
"220","CC","GO:0043231","intracellular membrane-bounded organelle",9576,1,0.51,51,0.5111,0.5111,0.000104427736006683,"Thy1"
"221","CC","GO:0043227","membrane-bounded organelle",10221,1,0.55,52,0.5455,0.5455,9.78377849525487e-05,"Thy1"
"222","CC","GO:0005737","cytoplasm",10270,1,0.55,53,0.5481,0.5481,9.73709834469328e-05,"Thy1"
"223","CC","GO:0043229","intracellular organelle",11130,1,0.59,54,0.594,0.594,8.98472596585804e-05,"Thy1"
"224","CC","GO:0043226","organelle",11415,1,0.61,55,0.6092,0.6092,8.76040297853701e-05,"Thy1"
"225","CC","GO:0044424","intracellular part",12660,1,0.68,56,0.6757,0.6757,7.89889415481832e-05,"Thy1"
"226","CC","GO:0005622","intracellular",12690,1,0.68,57,0.6773,0.6773,7.88022064617809e-05,"Thy1"
"227","CC","GO:0098552","side of membrane",558,1,0.03,24,1,0.0298,0.0017921146953405,"Thy1"
"228","CC","GO:0005623","cell",14552,1,0.78,59,1,0.7766,6.8719076415613e-05,"Thy1"
"229","CC","GO:0030424","axon",691,1,0.04,25,1,0.0369,0.00144717800289436,"Thy1"
"230","CC","GO:0044425","membrane part",6063,1,0.32,48,1,0.3236,0.00016493485073396,"Thy1"
"231","CC","GO:0030425","dendrite",697,1,0.04,27,1,0.0372,0.00143472022955524,"Thy1"
"232","CC","GO:0042995","cell projection",2360,1,0.13,41,1,0.126,0.000423728813559322,"Thy1"
"233","CC","GO:0009986","cell surface",871,1,0.05,30,1,0.0465,0.00114810562571757,"Thy1"
"234","CC","GO:0097458","neuron part",1896,1,0.1,39,1,0.1012,0.000527426160337553,"Thy1"
"235","CC","GO:0032589","neuron projection membrane",66,1,0,7,1,0.0035,0.0151515151515152,"Thy1"
"236","CC","GO:0044459","plasma membrane part",2601,1,0.14,42,1,0.1388,0.000384467512495194,"Thy1"
"237","CC","GO:0031252","cell leading edge",376,1,0.02,20,1,0.0201,0.00265957446808511,"Thy1"
"238","CC","GO:0031253","cell projection membrane",288,1,0.02,14,1,0.0154,0.00347222222222222,"Thy1"
"239","CC","GO:0031224","intrinsic component of membrane",4924,1,0.26,47,1,0.2628,0.000203086921202275,"Thy1"
"240","CC","GO:0071944","cell periphery",4725,1,0.25,46,1,0.2522,0.000211640211640212,"Thy1"
"241","CC","GO:0005575","cellular_component",18737,1,1,60,1,1,5.3370336766825e-05,"Thy1"
"242","CC","GO:0043005","neuron projection",1455,1,0.08,35,1,0.0777,0.000687285223367698,"Thy1"
"243","CC","GO:0031225","anchored component of membrane",167,1,0.01,10,1,0.0089,0.00598802395209581,"Thy1"
"244","CC","GO:0043025","neuronal cell body",695,1,0.04,26,1,0.0371,0.00143884892086331,"Thy1"
"245","CC","GO:0031226","intrinsic component of plasma membrane",1418,1,0.08,34,1,0.0757,0.000705218617771509,"Thy1"
"246","CC","GO:0031256","leading edge membrane",147,1,0.01,9,1,0.0078,0.00680272108843537,"Thy1"
"247","CC","GO:0044297","cell body",781,1,0.04,29,1,0.0417,0.00128040973111396,"Thy1"
"248","CC","GO:0036477","somatodendritic compartment",1009,1,0.05,31,1,0.0539,0.000991080277502478,"Thy1"
"249","CC","GO:0044298","cell body membrane",37,1,0,4,1,0.002,0.027027027027027,"Thy1"
"250","CC","GO:0016020","membrane",7907,1,0.42,49,1,0.422,0.00012647021626407,"Thy1"
"251","CC","GO:0098590","plasma membrane region",1164,1,0.06,33,1,0.0621,0.000859106529209622,"Thy1"
"252","CC","GO:0044463","cell projection part",1494,1,0.08,36,1,0.0797,0.000669344042838019,"Thy1"
"253","CC","GO:0044464","cell part",14550,1,0.78,58,1,0.7765,6.87285223367698e-05,"Thy1"
"254","CC","GO:0044304","main axon",85,1,0,8,1,0.0045,0.0117647058823529,"Thy1"
"255","CC","GO:0120025","plasma membrane bounded cell projection",2167,1,0.12,40,1,0.1157,0.000461467466543609,"Thy1"
"256","CC","GO:0005886","plasma membrane",4585,1,0.24,45,1,0.2447,0.000218102508178844,"Thy1"
"257","CC","GO:0033267","axon part",440,1,0.02,23,1,0.0235,0.00227272727272727,"Thy1"
"258","CC","GO:0009897","external side of plasma membrane",381,1,0.02,21,1,0.0203,0.0026246719160105,"Thy1"
"259","CC","GO:0097447","dendritic tree",700,1,0.04,28,1,0.0374,0.00142857142857143,"Thy1"
"260","CC","GO:0120038","plasma membrane bounded cell projection ...",1494,1,0.08,37,1,0.0797,0.000669344042838019,"Thy1"
"261","CC","GO:0000118","histone deacetylase complex",59,0,0,61,1,1,0,""
"262","CC","GO:0000123","histone acetyltransferase complex",81,0,0,62,1,1,0,""
"263","CC","GO:0000139","Golgi membrane",232,0,0.01,63,1,1,0,""
"264","CC","GO:0000151","ubiquitin ligase complex",275,0,0.01,64,1,1,0,""
"265","CC","GO:0000152","nuclear ubiquitin ligase complex",42,0,0,65,1,1,0,""
"266","CC","GO:0000178","exosome (RNase complex)",22,0,0,66,1,1,0,""
"267","CC","GO:0000228","nuclear chromosome",550,0,0.03,67,1,1,0,""
"268","CC","GO:0000242","pericentriolar material",21,0,0,68,1,1,0,""
