gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Microglia	Oligo
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0200735495	0.0304706187
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0495147554	0.011210888
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.5017666821	0.6111805655
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0110716223	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0083451835	0.015017112
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0495147554	0.011210888
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.5017666821	0.6111805655
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.0130811976	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0110716223	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0196892253	0.0260603976
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0083451835	0.015017112
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.0	0.0180053656
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0130811976	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.1805095435	0.148673182
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0495147554	0.011210888
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.5017666821	0.6111805655
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0110716223	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0196892253	0.0260603976
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	5.1407023709	18.1892879467
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0495147554	0.011210888
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.1567618513	0.0220337601
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.5017666821	0.6111805655
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	1.156883141	0.0
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0147642009	0.045281575
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0401825307	0.1832896473
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.3407835954	0.0526382737
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.1073558086	0.1297651329
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.4979407458	0.0897667196
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.70648559	3.1435700433
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.6925859749	1.7970980611
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0349973402	0.0188443971
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.1153118509	0.0541600828
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.1536435122	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.1536435122	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.2592669006	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.1258616541	0.0
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.6549663698	0.3341858411
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.1607567292	0.0487917011
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.7018737172
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.1258616541	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.1258616541	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.1258616541	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.1258616541	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	0.3416742498	0.0311272291
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.1258616541	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.4723057153	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.1258616541	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.219006683	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.7159358081	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.1258616541	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.0	0.7018737172
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.1258616541	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	0.3416742498	0.0311272291
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.1258616541	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.0130811976	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.9357074305	17.6822591184
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.1127947028	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.1514679505	0.094151928
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.0222816399	0.0
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0780703174	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	0.3416742498	0.0311272291
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.4723057153	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.4723057153	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0173792447	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.9357074305	17.6822591184
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	4.9366088445	0.1410153634
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	1.4090566753	0.3008523174
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	4.9366088445	0.1410153634
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	1.4090566753	0.3008523174
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	1.4073016659	0.0813921931
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	4.9366088445	0.1410153634
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	1.4073016659	0.0813921931
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.4650153383	0.0085987998
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	4.9366088445	0.1410153634
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	1.4090566753	0.3008523174
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	1.4090566753	0.3008523174
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	5.799343999	3.5193078084
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	1.0845073796	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.402971005	0.0656289111
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0760681875	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	1.0845073796	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.934417155	1.1321272331
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	1.0845073796	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.402971005	0.0656289111
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	2.154185091	0.0184336215
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	0.2919147006	0.2206652917
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.2050605119	0.076580341
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.2919147006	0.2206652917
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.6503312614	0.1998950341
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	1.1380710904	0.7346259642
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.2919147006	0.2206652917
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.2695109211	0.3028058972
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.5436461521	0.1229834614
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	1.808853543	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0110716223	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.2630722764	0.0681783021
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.1537423385	0.0
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	1.7610360412	5.4253164645
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.0513204758	0.0616013655
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.0605997419	0.0354198087
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.8851975611	14.4724494565
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	1.2690538752	0.075671084
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.1319034377	0.044260807
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0259001032	0.0150424573
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.0	0.0253560625
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B42AD9EF	0.1319034377	0.044260807
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.1319034377	0.044260807
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.1039662084	0.2917255248
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0E5AF12B6	0.1319034377	0.044260807
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.1319034377	0.044260807
FZD9	O00144	False	FZD9_HUMAN		CPI-SS030EDC420	0.0245979466	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.402971005	0.0656289111
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.0760681875	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS05B7D3407	0.0760681875	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS03821C2C6	0.015746742	0.0216326601
CXCL5	P42830	False	CXCL5_HUMAN		CPI-SS0ABF41CAA	0.1082575199	0.0
CCL8	P80075	False	CCL8_HUMAN		CPI-SS008700E67	0.0323704212	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	0.0760681875	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.5169308907	0.3668864578
VIP	P01282	False	VIP_HUMAN		CPI-SS0F9BBC31B	0.3013482455	0.2863690898
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0D377BBBF	0.0436894901	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.5169308907	0.3668864578
VIP	P01282	False	VIP_HUMAN		CPI-SS0C8A09915	0.3013482455	0.2863690898
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS062DED513	0.0436894901	0.0
VIP	P01282	False	VIP_HUMAN		CPI-SS05B60E59C	0.3013482455	0.2863690898
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS02CCE14A7	0.0436894901	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS04A7BCE8D	0.0	0.0486849883
NPPA	P01160	False	ANF_HUMAN		CPI-SS0230EE330	0.0	0.0486849883
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0133239EA	0.0436894901	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	1.808853543	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	1.0166447764	0.0169281215
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0530403605	0.0109290692
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0984C2931	0.0436894901	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	1.808853543	0.0
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	6.4282691212	0.3089611402
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	1.808853543	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0CB863B46	0.0179932489	0.0430768387
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	1.808853543	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	1.808853543	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	1.808853543	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	1.808853543	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0530403605	0.0109290692
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.0465818256	0.0089082019
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	1.808853543	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	1.0166447764	0.0169281215
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.2575363522	0.3215424811
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	1.0166447764	0.0169281215
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	0.0530403605	0.0109290692
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	1.7610360412	5.4253164645
MDK	P21741	False	MK_HUMAN		CPI-SS012AFC842	0.0530403605	0.0109290692
PTN	P21246	False	PTN_HUMAN		CPI-SS05D7900BF	1.7610360412	5.4253164645
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0261EA048	0.0436894901	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.0179932489	0.0430768387
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0D4F593F1	0.0179932489	0.0430768387
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS03E450F99	0.0521942452	0.2189583912
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0D5DBB634	0.0779683032	0.1396663534
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	0.8603793013	0.0724641173
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0C56C483F	0.0179932489	0.0430768387
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.0	0.0161241262
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.0179932489	0.0430768387
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS073F3FAD5	0.0179932489	0.0430768387
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS0AD0ED887	0.0196314008	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.1805095435	0.148673182
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.1805095435	0.148673182
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS038E93B77	0.1805095435	0.148673182
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0907A7598	5.1407023709	18.1892879467
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS07A9A501C	0.0718075562	0.0476438146
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0BF490275	0.1805095435	0.148673182
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	5.1407023709	18.1892879467
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0521942452	0.2189583912
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.0779683032	0.1396663534
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.8603793013	0.0724641173
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0259591921	0.0567508778
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	0.0718075562	0.0476438146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	5.1407023709	18.1892879467
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02E314589	5.1407023709	18.1892879467
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS02C29C238	0.0718075562	0.0476438146
CD96	P40200	False	TACT_HUMAN		CPI-SS03F821467	0.0526665432	0.0
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0CC898553	5.1407023709	18.1892879467
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	5.1407023709	18.1892879467
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0A69F13A3	0.1612458739	0.0641397963
BMP2	P12643	False	BMP2_HUMAN		CPI-SS016B7C7D6	0.0	0.0127871678
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0B8083B44	0.048185224	0.0642884232
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.0327130495	0.0977862292
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0110716223	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0467005765
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.0201795984	0.0371961288
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0110716223	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.0	0.0467005765
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0D37C7C70	0.0201795984	0.0371961288
DLL1	O00548	False	DLL1_HUMAN		CPI-SS047232C64	0.0110716223	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.0	0.0467005765
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	0.0201795984	0.0371961288
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	0.2630722764	0.0681783021
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.2630722764	0.0681783021
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.0	0.3534906233
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.0507041398	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.2630722764	0.0681783021
WNT7A	O00755	False	WNT7A_HUMAN		CPI-SS0A81A3626	0.0160684903	0.0292698061
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0B34CBA4B	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.0521942452	0.2189583912
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS08A54963F	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	0.0521942452	0.2189583912
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0C875BA24	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS09CA492BA	0.0521942452	0.2189583912
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0D81D9F5E	0.0524732097	0.1390311423
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	0.0521942452	0.2189583912
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS079EF5D9C	0.0779683032	0.1396663534
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	0.8603793013	0.0724641173
CORT	O00230	False	CORT_HUMAN		CPI-SS06CE0CF64	0.0	0.0296101527
AGRP	O00253	False	AGRP_HUMAN		CPI-SS09CF5B145	0.4755275903	0.2596446653
POMC	P01189	False	COLI_HUMAN		CPI-SS098F8DB82	0.0356206502	0.0168004825
CXCR6	O00574	False	CXCR6_HUMAN		CPI-SS00F282936	0.0580251996	0.0390074505
GPR75	O95800	False	GPR75_HUMAN		CPI-SS0DA291AD9	0.0	0.0274658119
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.0319832152	0.0
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	1.2504091334	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.0	0.1622099164
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.0	0.008930517
NPPA	P01160	False	ANF_HUMAN		CPI-SS032AD1183	0.0	0.0486849883
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.3781679424	0.0232184153
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.3781679424	0.0232184153
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.0	0.0278472489
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	2.3428382068	1.4896356729
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.6271459813	0.4837010539
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0708FE6FF	0.6271459813	0.4837010539
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0E075E5AF	0.6271459813	0.4837010539
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0978D28AB	0.6271459813	0.4837010539
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02572E1EF	0.6271459813	0.4837010539
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0057AB387	0.0773123596	0.0055617198
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS01E3453DB	0.0363358203	0.0156655493
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.1596671563	0.1102421104
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.1811355846	0.2570236821
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.1832640268	0.0397795831
ANGPT2	O15123	False	ANGP2_HUMAN		CPI-SS0BAB460FF	0.1490103895	0.0177366288
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.0671671719	0.0770378321
EPO	P01588	False	EPO_HUMAN		CPI-SS04124F4E1	1.0859943141	1.0256784438
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.1218373986	0.1025691284
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.0671671719	0.0770378321
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.1218373986	0.1025691284
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.0571306758
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.0228823003
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.1588893521	3.081916417
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.7611929055	1.3175935694
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.0671671719	0.0770378321
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.1218373986	0.1025691284
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.0	0.0571306758
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.0	0.0228823003
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.1588893521	3.081916417
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.7611929055	1.3175935694
EPO	P01588	False	EPO_HUMAN		CPI-SS087A17AD6	1.0859943141	1.0256784438
EPO	P01588	False	EPO_HUMAN		CPI-SS0A0DE9CD6	1.0859943141	1.0256784438
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0259591921	0.0567508778
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.1218373986	0.1025691284
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.0	0.0077065767
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.0497011544	0.0
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0BEAB521F	0.2071579669	0.0960003833
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0259591921	0.0567508778
